product_id,name,url,collection,category,color,price,original_price,discount_pct,sizes,description,composition,availability_text,image_urls,source,collected_at,price_source,price_confidence,price_http_status,price_error
3903,Biquíni Mies Preto,https://www.intibrand.com/produto/biquini-mies-preto-3903,VERÃO 2027,Biquínis,Preto,105.0,269.5,61.04,PP|P|M|G|GG,Biquíni com top meia taça liso com tecido wavy sobreposto. As alças possuem regulador banhado e fecho posterior. Calcinha estilo asa delta em tecido wavy. Composição tecido liso: 87% Poliamida 13% Elastano Tecido wavy: 98% Poliamida 2% Elastano. Modelo veste PP.,,unavailable,https://cdn.vnda.com.br/intibrand/2023/12/02/17_54_02_752_17_12_8_892_biquc38dni20mies20preto20frente202.jpg?v=1701550523,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
4885,Biquíni Easton Marrom,https://www.intibrand.com/produto/biquini-easton-marrom-4885,VERÃO 2027,Biquínis,Marrom,232.0,589.0,60.61,PP|P|M|G,"O Biquíni Easton tem design minimalista e atemporal. O top pode ser usado com alças ou sem alças, com detalhe franzido que valoriza o busto. A calcinha tem modelagem clássica, complementando o conjunto. Composição: 87% Poliéster / 13% Elastano Modelo veste PP.",87% Poliéster / 13% Elastano,partial_or_variant_unavailable,https://cdn.vnda.com.br/intibrand/2026/04/01/17_36_18_633_gaby-20v-c3-8ddeos-20-20-story-20-202026-04-01t173539-313-17049470.jpg?v=1775075778,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
4883,Biquíni Easton Preto,https://www.intibrand.com/produto/biquini-easton-preto-4883,VERÃO 2027,Biquínis,Preto,232.0,589.0,60.61,PP|P|M|G,"O Biquíni Easton tem design minimalista e atemporal. O top pode ser usado com alças ou sem alças, com detalhe franzido que valoriza o busto. A calcinha tem modelagem clássica, complementando o conjunto. Composição: 87% Poliamida / 13% Elastano Modelo veste PP.",87% Poliamida / 13% Elastano,partial_or_variant_unavailable,https://cdn.vnda.com.br/intibrand/2026/04/01/17_38_50_374_gaby-20v-c3-8ddeos-20-20-story-20-202026-04-01t173814-162-17041710.jpg?v=1775075930,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
4884,Biquíni Easton Azul Marinho,https://www.intibrand.com/produto/biquini-easton-azul-marinho-4884,VERÃO 2027,Biquínis,Azul Marinho,232.0,589.0,60.61,PP|P|M|G,"O Biquíni Easton tem design minimalista e atemporal. O top pode ser usado com alças ou sem alças, com detalhe franzido que valoriza o busto. A calcinha tem modelagem clássica, complementando o conjunto. Composição: 87% Poliamida / 13% Elastano Modelo veste PP.",87% Poliamida / 13% Elastano,partial_or_variant_unavailable,https://cdn.vnda.com.br/intibrand/2026/04/01/17_37_41_59_gaby-20v-c3-8ddeos-20-20-story-20-202026-04-01t173706-066-17049990.jpg?v=1775075866,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
4882,Biquíni Easton Off-White,https://www.intibrand.com/produto/biquini-easton-off-white-4882,VERÃO 2027,Biquínis,Off White,232.0,589.0,60.61,PP|P|M|G,"O Biquíni Easton tem design minimalista e atemporal. O top pode ser usado com alças ou sem alças, com detalhe franzido que valoriza o busto. A calcinha tem modelagem clássica, complementando o conjunto. Composição: 87% Poliamida / 13% Elastano Modelo veste PP.",87% Poliamida / 13% Elastano,unavailable,https://cdn.vnda.com.br/intibrand/2026/04/01/17_40_19_91_gaby-20v-c3-8ddeos-20-20-story-20-202026-04-01t174008-602-17042160.jpg?v=1775076019,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
4412,Biquíni Bonneville Pérola,https://www.intibrand.com/produto/biquini-bonneville-perola-4412,VERÃO 2027,Biquínis,Pérola,260.0,659.0,60.55,P|M|G|GG,"O biquíni Bonneville é a peça perfeita para quem busca estilo e sofisticação com um toque moderno. Tem alças finas feitas em metal dourado banhado a ouro, que proporcionam um visual delicado e elegante, ideal para garantir o conforto sem perder a feminilidade. As correntes não esquentam nem enferrujam. Confeccionado em malha Super Liberty e microfibra. Composição: 84% Poliamida / 16% Elastano Modelo veste PP.",84% Poliamida / 16% Elastano,unavailable,https://cdn.vnda.com.br/intibrand/2025/01/29/15_21_32_509_15_1_6_681_biquc38dni20bonneville20pc389rola20frente20320aw25201.jpg?v=1738174902,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
3487,Biquíni Bonneville Preto,https://www.intibrand.com/produto/biquini-bonneville-preto-3487,VERÃO 2027,Biquínis,Preto,260.0,659.0,60.55,P|M|G|GG,"O biquíni Bonneville é a peça perfeita para quem busca estilo e sofisticação com um toque moderno. Tem alças finas feitas em metal dourado banhado a ouro, que proporcionam um visual delicado e elegante, ideal para garantir o conforto sem perder a feminilidade. As correntes não esquentam nem enferrujam. Confeccionado em malha Super Liberty e microfibra. Composição: 84% Poliamida / 16% Elastano Modelo veste PP.",84% Poliamida / 16% Elastano,partial_or_variant_unavailable,https://cdn.vnda.com.br/intibrand/2025/04/30/17_12_05_383_17_4_6_600_biquc38dni20bonneville20preto20aw2520frente203.jpg?v=1746043952,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
3481,Biquíni Azov Preto,https://www.intibrand.com/produto/biquini-azov-preto-3481,VERÃO 2027,Biquínis,Preto,95.0,239.5,60.33,PP|P|M|G|GG,,,unavailable,https://cdn.vnda.com.br/intibrand/2022/08/29/17_8_1_126_BIQUNIAZOVPRETOFRENTE.jpg?v=1661805982,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
4228,Biquíni Alessio Castanho,https://www.intibrand.com/produto/biquini-alessio-castanho-4228,VERÃO 2027,Biquínis,Castanho,137.5,344.5,60.09,PP|P|M|G|GG,"Um biquíni unilateral com hot pants, pensado para os melhores dias de sol da próxima temporada. Feito em microfibra com ótima sustentação. Modelo veste PP.",,unavailable,https://cdn.vnda.com.br/intibrand/2024/10/18/17_56_46_341_17_10_8_816_biquc38dni20alessio20castanho20frente.jpg?v=1729285028,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
4227,Biquíni Alessio Vermelho Carmim,https://www.intibrand.com/produto/biquini-alessio-vermelho-carmim-4227,VERÃO 2027,Biquínis,Vermelho Carmim,137.5,344.5,60.09,PP|P|M|G|GG,"Um biquíni unilateral com hot pants, pensado para os melhores dias de sol da próxima temporada. Feito em microfibra com ótima sustentação. Modelo veste PP.",,unavailable,https://cdn.vnda.com.br/intibrand/2024/10/18/17_59_18_813_17_10_8_820_biquc38dni20alessio20vermelho20carmin20frente.jpg?v=1729285181,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
4226,Biquíni Alessio Preto,https://www.intibrand.com/produto/biquini-alessio-preto-4226,VERÃO 2027,Biquínis,Preto,137.5,344.5,60.09,PP|P|M|G|GG,"Um biquíni unilateral com hot pants, pensado para os melhores dias de sol da próxima temporada. Feito em microfibra com ótima sustentação. Modelo veste PP.",,partial_or_variant_unavailable,https://cdn.vnda.com.br/intibrand/2024/10/18/17_58_29_604_17_10_5_569_biquc38dni20alessio20vermelho20preto20frente.jpg?v=1729285109,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
