product_id,name,category,color,old_price,new_price,old_discount_pct,new_discount_pct,old_in_sale,new_in_sale,price_changed,markdown_changed
4954,BLAZER CARMINE + PANTALONA SAVOYE | PRETO,Blazers,Preto,2392.1,2392.1,,,False,False,False,False
4955,BLAZER CARMINE CARAMELO + CALÇA JEANS MALCOLM AZUL CLARO,Blazers,Caramelo,2325.6,2325.6,,,False,False,False,False
4956,BLUSA ALEXIS PRETA + CALÇA JEANS MALCOLM AZUL ESCURO,Blusas,Azul,1755.6,1755.6,,,False,False,False,False
4957,BLUSA ALEXIS OFF-WHITE + CALÇA JEANS MALCOLM AZUL ESCURO,Blusas,Off White,1755.6,1755.6,,,False,False,False,False
4958,BLAZER DONATO MARROM + PANTALONA SAVOYE OFF-WHITE,Blazers,Off White,,,,,False,False,False,False
4959,Macacão Novari Off-White,Macacões,Off White,1689.0,1689.0,,,False,False,False,False
4960,Macacão Novari Preto,Macacões,Preto,1689.0,1689.0,,,False,False,False,False
4961,Macacão Novari Vermelho,Macacões,Vermelho,1689.0,1689.0,,,False,False,False,False
4962,BLAZER DONATO + PANTALONA SAVOYE OFF-WHITE,Blazers,Off White,,,,,False,False,False,False
4963,BLAZER DONATO + PANTALONA SAVOYE PRETO,Blazers,Preto,,,,,False,False,False,False
4968,Vestido Fontaine Off-White,Vestidos,Off White,1989.0,1989.0,,,False,False,False,False
4969,Vestido Fontaine Framboesa,Vestidos,Framboesa,1989.0,1989.0,,,False,False,False,False
4970,Vestido Fontaine Preto,Vestidos,Preto,1989.0,1989.0,,,False,False,False,False
4971,Vestido Fontaine Vermelho,Vestidos,Vermelho,1989.0,1989.0,,,False,False,False,False
4972,Body Foster Off-White,Bodies,Off White,689.0,689.0,,,False,False,False,False
4973,Body Foster Preto,Bodies,Preto,689.0,689.0,,,False,False,False,False
4975,Macacão Linho Armand Azul,Macacões,Azul,1689.0,1689.0,,,False,False,False,False
4976,Macacão Linho Armand Preto,Macacões,Preto,,,,,False,False,False,False
4977,Macacão Linho Armand Marrom,Macacões,Marrom,1689.0,1689.0,,,False,False,False,False
4978,Vestido Walker Off-White,Vestidos,Off White,1989.0,1989.0,,,False,False,False,False
4979,Vestido Walker Framboesa,Vestidos,Framboesa,1989.0,1989.0,,,False,False,False,False
4980,Vestido Walker Preto,Vestidos,Preto,1989.0,1989.0,,,False,False,False,False
4981,Vestido Walker Vermelho,Vestidos,Vermelho,1989.0,1989.0,,,False,False,False,False
4982,Vestido Salvi Off-White,Vestidos,Off White,1989.0,1989.0,,,False,False,False,False
4983,Vestido Salvi Azul,Vestidos,Azul,1989.0,1989.0,,,False,False,False,False
4984,Vestido Salvi Preto,Vestidos,Preto,1989.0,1989.0,,,False,False,False,False
4985,Vestido Salvi Vermelho,Vestidos,Vermelho,1989.0,1989.0,,,False,False,False,False
4986,Vestido Bianchi Off-White,Vestidos,Off White,,,,,False,False,False,False
4987,Vestido Bianchi Preto,Vestidos,Preto,,,,,False,False,False,False
4988,Vestido Bianchi Vermelho,Vestidos,Vermelho,,,,,False,False,False,False
4989,Vestido Bianchi Marrom,Vestidos,Marrom,,,,,False,False,False,False
4997,Biquíni Lorian Off-White,Biquínis,Off White,232.0,232.0,61.27,61.27,True,True,False,False
4998,Biquíni Lorian Preto,Biquínis,Preto,232.0,232.0,61.27,61.27,True,True,False,False
5003,Biquíni Castillo Off-White,Biquínis,Off White,232.0,232.0,65.83,65.83,True,True,False,False
5005,Biquíni Castillo Preto,Biquínis,Preto,232.0,232.0,65.83,65.83,True,True,False,False
5006,Biquíni Castillo Terracota,Biquínis,Terracota,232.0,232.0,65.83,65.83,True,True,False,False
5007,Vestido Sartori Rosê,Vestidos,Rosê,2389.0,2389.0,,,False,False,False,False
