product,category,neighbor,neighbor_category,rank,similarity_pct
Biquíni Castillo Preto,Biquínis,Biquíni Landon Preto,Biquínis,6,96.5
Biquíni Castillo Terracota,Biquínis,Biquíni Alann Marrom,Biquínis,1,93.29
Biquíni Castillo Terracota,Biquínis,Biquíni Alann Preto,Biquínis,2,93.29
Biquíni Castillo Terracota,Biquínis,Biquíni Alann Pérola,Biquínis,3,93.29
Biquíni Castillo Terracota,Biquínis,Biquíni Castillo Off-White,Biquínis,4,93.13
Biquíni Castillo Terracota,Biquínis,Biquíni Castillo Preto,Biquínis,5,93.13
Biquíni Castillo Terracota,Biquínis,Biquíni Bonneville Pérola,Biquínis,6,92.41
Biquíni Clark Fúcsia,Biquínis,Biquíni Lusty Fúcsia,Biquínis,1,99.98
Biquíni Clark Fúcsia,Biquínis,Biquíni Cyprus Fúcsia,Biquínis,2,99.98
Biquíni Clark Fúcsia,Biquínis,Biquíni Menorca Azul Marinho,Biquínis,3,88.2
Biquíni Clark Fúcsia,Biquínis,Biquíni Menorca Preto,Biquínis,4,88.2
Biquíni Clark Fúcsia,Biquínis,Biquíni Cyprus Azul Turquesa,Biquínis,5,88.15
Biquíni Clark Fúcsia,Biquínis,Biquíni Cyprus Off-White,Biquínis,6,88.15
Biquíni Conti Castanho,Biquínis,Biquíni Vince Castanho,Biquínis,1,99.99
Biquíni Conti Castanho,Biquínis,Biquíni Alessio Castanho,Biquínis,2,98.47
Biquíni Conti Castanho,Biquínis,Biquíni Perez Castanho,Biquínis,3,94.25
Biquíni Conti Castanho,Biquínis,Biquíni Mark Castanho,Biquínis,4,94.23
Biquíni Conti Castanho,Biquínis,Biquíni Mies Preto,Biquínis,5,87.23
Biquíni Conti Castanho,Biquínis,Biquíni Mies Azul Turquesa,Biquínis,6,87.23
Biquíni Conti Pérola,Biquínis,Biquíni Kobe Pérola,Biquínis,1,99.99
Biquíni Conti Pérola,Biquínis,Biquíni Vince Pérola,Biquínis,2,99.99
Biquíni Conti Pérola,Biquínis,Biquíni Hess Pérola,Biquínis,3,99.91
Biquíni Conti Pérola,Biquínis,Biquíni Harper Pérola,Biquínis,4,94.27
Biquíni Conti Pérola,Biquínis,Biquíni Perez Pérola,Biquínis,5,94.25
Biquíni Conti Pérola,Biquínis,Biquíni Mark Pérola,Biquínis,6,94.23
Biquíni Conti Vermelho Carmim,Biquínis,Biquíni Vince Vermelho Carmim,Biquínis,1,99.99
Biquíni Conti Vermelho Carmim,Biquínis,Biquíni Alessio Vermelho Carmim,Biquínis,2,98.47
Biquíni Conti Vermelho Carmim,Biquínis,Biquíni Mies Off-White,Biquínis,3,87.23
Biquíni Conti Vermelho Carmim,Biquínis,Biquíni Mies Azul Turquesa,Biquínis,4,87.23
Biquíni Conti Vermelho Carmim,Biquínis,Biquíni Mies Preto,Biquínis,5,87.23
Biquíni Conti Vermelho Carmim,Biquínis,Biquíni Hess Pérola,Biquínis,6,87.19
Biquíni Cyprus Azul Turquesa,Biquínis,Biquíni Mies Azul Turquesa,Biquínis,1,98.51
Biquíni Cyprus Azul Turquesa,Biquínis,Biquíni Menorca Preto,Biquínis,2,88.15
